Bandgap (eV),Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),J0 (mA/cm^2)
0.495,0.303195196182,66.7518649846,72.3370115768,14.6401755056,0.000538282249319
0.496,0.304094566168,66.7474960834,72.3893602242,14.6932672118,0.000519843666858
0.497,0.304993863395,66.7424524153,72.4434639224,14.7466193449,0.000502033028564
0.498,0.30589405268,66.7392267295,72.4970102969,14.8003607375,0.000484829088763
0.499,0.30679390564,66.7346495614,72.5498715305,14.8537038301,0.00046821131527
0.5,0.307693086435,66.7278561688,72.6020291769,14.906430836,0.000452159865632
0.501,0.308590413167,66.715798865,72.6534088104,14.9577791389,0.000436655564157
0.502,0.309486293866,66.6995350684,72.705014013,15.0081993415,0.000421679879694
0.503,0.310380984702,66.6797304106,72.7573867032,15.0579563407,0.000407214904154
0.504,0.311272879705,66.65224914,72.8089337811,15.1056968158,0.000393243331731
0.505,0.312164674365,66.6240488615,72.8597995278,15.15314396,0.000379748438816
0.506,0.313060029975,66.6045645445,72.9102086567,15.2026730933,0.000366714064575
0.507,0.313956713799,66.5880390787,72.9600467666,15.2528536792,0.000354124592161
0.508,0.314849195932,66.5602327657,73.0112203946,15.3005495049,0.000341964930556
0.509,0.315741580687,66.5317234117,73.0619475558,15.3480002253,0.000330220497011
0.51,0.316634627465,66.5044672085,73.1120574011,15.3956571741,0.000318877200061
0.511,0.317525085898,66.4701065026,73.161368134,15.4413844215,0.00030792142311
0.512,0.318417183646,66.4395182687,73.2101222278,15.4879559065,0.000297340008557
0.513,0.31931131583,66.4137140713,73.2594262998,15.5358704419,0.000287120242446
0.514,0.320205401412,66.3873457375,73.3094186908,15.5838132306,0.000277249839624
0.515,0.321098526289,66.3580692145,73.3587294544,15.6308953099,0.000267716929398
0.516,0.321990657066,66.3258043531,73.4073544037,15.6770869916,0.000258510041654
0.517,0.322881392378,66.2895279955,73.4552676577,15.7221121417,0.000249618093454
0.518,0.32377199028,66.2524724222,73.5025394903,15.7668054583,0.000241030376062
0.519,0.324664040901,66.2187135332,73.5515133189,15.8127185759,0.000232736542407
0.52,0.325557724577,66.1887096479,73.6000735101,15.8595246795,0.000224726594968
0.521,0.326450561264,66.1561104559,73.6479772875,15.9055322611,0.000216990874049
0.522,0.327341535179,66.1183234194,73.6951663005,15.9500463925,0.000209520046454
0.523,0.328234303489,66.084707124,73.7418435427,15.9955407739,0.000202305094536
0.524,0.329127297592,66.0512489445,73.7888758393,16.0411622607,0.000195337305604
0.525,0.33001773567,66.0108466979,73.836535164,16.08510471,0.000188608261694
0.526,0.33090763718,65.9686677545,73.8835601136,16.1284383343,0.000182109829667
0.527,0.331798602953,65.9287994957,73.9300361731,16.172257194,0.000175834151649
0.528,0.332690530345,65.890977701,73.9759666324,16.2164967664,0.00016977363578
0.529,0.333581829149,65.8511496461,74.0212687118,16.2600647875,0.000163920947276
0.53,0.334473003026,65.8106026735,74.0679803703,16.303747482,0.000158268999787
0.531,0.335363271975,65.7673553077,74.1143234748,16.3466221789,0.000152810947047
0.532,0.336252118602,65.7200991044,74.1600050437,16.388265444,0.000147540174792
0.533,0.337141390462,65.6735375594,74.2051181048,16.4299538981,0.000142450292963
0.534,0.338031433996,65.6285502215,74.2496868564,16.4719313904,0.000137535128154
0.535,0.338921991268,65.5844810156,74.2944988058,16.5141982095,0.000132788716323
0.536,0.33981182224,65.5381858694,74.3401374771,16.5560320996,0.00012820529574
0.537,0.340700590562,65.4888189499,74.3851489512,16.596873415,0.000123779300174
0.538,0.341589733323,65.4400263703,74.4296033799,16.6377264538,0.000119505352307
0.539,0.342479789669,65.3931721157,74.4735339662,16.6789733843,0.000115378257364
0.54,0.343369868065,65.3459999437,74.5168994371,16.7199881674,0.000111392996965
0.541,0.3442596449,65.2976946324,74.5614572997,16.7609392777,0.00010754472317
0.542,0.345149281537,65.2486674365,74.6058693922,16.8016377107,0.000103828752737
0.543,0.346038931195,65.1993078695,74.6497237798,16.8420965421,0.000100240561562
0.544,0.346928394577,65.1491159028,74.6930128452,16.8821731644,9.67757793082e-05
0.545,0.347818084822,65.0991352514,74.7357597309,16.9221613934,9.3430184216e-05
